genre,author,book,pubhouse,price_now,price_old
"Учебная, методическая литература и словари",Балаян Эдуард Николаевич,Математика. Пособие для подготовки к ЕГЭ и дополнительному экзамену. 10-11 классы.Профильный уровень,Феникс,771,1 101
"Учебная, методическая литература и словари",Цой,Первые уроки китайского языка,Феникс,212,303
"Учебная, методическая литература и словари",Рязанцева Юлия Евгеньевна,Ребусы для обучения грамоте. Рабочая нейротетрадь для дошкольников,Феникс,232,332
"Учебная, методическая литература и словари",Рязанцева Юлия Евгеньевна,Фонематические диктанты. Восприятие информации на слух. Рабочая нейротетрадь для дошкольников,Феникс,232,332
"Учебная, методическая литература и словари",Онишкова Анастасия Михайловна,100 нейроигр и упражнений на развитие моторики и сенсорики для детей 3-7 лет,Феникс,286,409
"Учебная, методическая литература и словари",Балаян Эдуард Николаевич,Математика. Решение задач для подготовки к ОГЭ. 7-9 классы,Феникс,494,705
"Учебная, методическая литература и словари",Николаева,Русский язык. 2 класс. Тренировочные задания. ФГОС,Экзамен,125,192
"Учебная, методическая литература и словари",Кузнецова Марта Ивановна,Русский язык. 4 класс. Тренировочные примеры. Безударные гласные. ФГОС,Экзамен,132,203
"Учебная, методическая литература и словари",Трофимова Елена Викторовна,УМК Математика. 3 класс. Проверочные работы. К учебнику М. И. Моро и др. ФГОС,Экзамен,232,357
"Учебная, методическая литература и словари",Трофимова Елена Викторовна,Математика. Проверочные работы. 1 класс. К учебнику М. И. Моро и др. ФГОС,Экзамен,233,359
"Учебная, методическая литература и словари",Ульева Елена Александровна,Сказочный учебник дошкольника. Самые важные вопросы,Феникс-Премьер,367,565
"Учебная, методическая литература и словари",Ульева Елена Александровна,Сказочный учебник дошкольника. Самые полезные навыки,Феникс-Премьер,367,565
"Учебная, методическая литература и словари",,,,,
"Учебная, методическая литература и словари",Николаева,Тренировочные задания по математике. 4 класс,Экзамен,132,203
"Учебная, методическая литература и словари",Тихомирова Елена Михайловна,"Русский язык. 4 класс. Тренажер к новому учебнику В.П. Канакиной, В.Г. Горецкого. ФГОС",Экзамен,179,276
"Учебная, методическая литература и словари",Шишкина Ирина Алексеевна,Английский язык. 4 класс. Тесты к учебнику Н.И. Быкова. Spotlight. ФПУ. ФГОС,Экзамен,248,381
"Учебная, методическая литература и словари",Крылова Ольга Николаевна,"Русский язык. 2 класс. Контрольные работы к учебнику В. П. Канакиной, В. Г. Горецкого. Часть 1. ФГОС",Экзамен,184,283
"Учебная, методическая литература и словари",Крылова Ольга Николаевна,"Русский язык. 2 класс. Контрольные работы к учебнику В. П. Канакиной, В. Г. Горецкого. Часть 2. ФГОС",Экзамен,184,283
"Учебная, методическая литература и словари",Тихомирова Елена Михайловна,"Русский язык. 2 класс. Проверочные работы к учебнику В.П. Канакиной, В.Г. Горецкого. ФГОС",Экзамен,259,399
"Учебная, методическая литература и словари",Соколова Наталья Алексеевна,Окружающий мир. 3 класс. Рабочая тетрадь №1 к учебнику А.А. Плешакова. ФГОС,Экзамен,291,447
"Учебная, методическая литература и словари",Соколова Наталья Алексеевна,Окружающий мир. 3 класс. Рабочая тетрадь №2 к учебнику А. А. Плешакова. ФГОС,Экзамен,291,447
"Учебная, методическая литература и словари",Тихомирова Елена Михайловна,Окружающий мир. 3 класс. Тесты к учебнику А. А. Плешакова. ФГОС,Экзамен,291,447
"Учебная, методическая литература и словари",Языканова Елена Вячеславовна,ВПР. Русский язык. 3 класс. Тренажер. ФГОС,Экзамен,211,324
"Учебная, методическая литература и словари",Тихомирова Елена Михайловна,"Окружающий мир. 4 класс. Тесты к учебнику А. А. Плешакова, Е. А. Крючковой. Часть 1. ФГОС",Экзамен,191,294
"Учебная, методическая литература и словари",Свичкарёва Любовь Сергеевна,Скоро в школу! Готовимся к математике,Феникс,207,319
"Учебная, методическая литература и словари",Свичкарёва Любовь Сергеевна,Скоро в школу! Готовимся к русскому языку,Феникс,207,319
"Учебная, методическая литература и словари",Ульева Елена Александровна,Сказочный учебник дошкольника. Болезни человека и их лечение,Феникс,367,565
"Учебная, методическая литература и словари",Ульева Елена Александровна,Сказочный учебник дошкольника. Математика и чтение,Феникс,367,565
"Учебная, методическая литература и словари",Ульева Елена Александровна,"Сказочный учебник дошкольника. Окружающий мир, логика и письмо",Феникс,367,565
"Учебная, методическая литература и словари",Ульева Елена Александровна,Сказочный учебник дошкольника. Правила здоровья и гигиены,Феникс,367,565
"Учебная, методическая литература и словари",Морозов Артем Юрьевич,Английский язык. Mishkie Grammar. Книга 2. Веселые задания с ключами. Грамматика для начальной школы,Титул,527,753
"Учебная, методическая литература и словари",Фокина Ольга Анатольевна,Русский язык. 7 класс. Рабочая тетрадь к учебнику М. Т. Баранова и др. Часть 1. ФГОС,Экзамен,234,360
"Учебная, методическая литература и словари",Фокина Ольга Анатольевна,Русский язык. 7 класс. Рабочая тетрадь к учебнику М. Т. Баранова и др. Часть 2. ФГОС,Экзамен,234,360
"Учебная, методическая литература и словари",Барашкова Елена Александровна,Английский язык. 3 класс. Грамматика. Сборник упражнений к учебнику Н. И. Быковой и др. Часть 1,Экзамен,255,392
"Учебная, методическая литература и словари",Барашкова Елена Александровна,Английский язык. 3 класс. Грамматика. Сборник упражнений к учебнику Н. И. Быковой и др. Часть 2,Экзамен,255,392
"Учебная, методическая литература и словари",Тихомирова Елена Михайловна,Окружающий мир. 3 класс. Тетрадь для практических работ №1 с дневником наблюдений. ФГОС,Экзамен,289,445
"Учебная, методическая литература и словари",Тихомирова Елена Михайловна,Окружающий мир. 3 класс. Тетрадь для практических работ №2 с дневником наблюдений. ФГОС,Экзамен,289,445
Религия,Маслов Алексей Александрович,"Диалоги китайский мудрецов. Чань-буддийские истории об истине, безумии и радости",Феникс,596,852
Религия,Митрополит Антоний Сурожский,О последних пределах. Тайна происхождения мира,Ника,232,331
Религия,Марнов Сергей Дмитриевич,"Теперь на Рим, или Зрелые годы апостола Павла",Скрижаль,368,526
Религия,Гуреева Ксения,"Оптина звала. 7 месяцев, которые подарили жизни новый смысл",Эксмо,458,654
Религия,Протоиерей Олег Корытко,Человек религиозный (Homo religiosus): на путях поиска истины. Авторский курс лекций,Сретенский ставропигиальный мужской монастырь,450,643
Религия,Малков Петр Юрьевич,Преподобный Максим Исповедник в наследии византийских отцов Церкви,ПСТГУ,361,515
Религия,,,,1 674 р.,2 576
Религия,Маслов Алексей Александрович,"Диалоги китайский мудрецов. Чань-буддийские истории об истине, безумии и радости",Феникс,596,852
